question,answer,source,focus_area
What is (are) Child Mental Health ?,"It's important to recognize and treat mental illnesses in children early on. Once mental illness develops, it becomes a regular part of your child's behavior. This makes it more difficult to treat. But it's not always easy to know when your child has a serious problem. Everyday stresses can cause changes in your child's behavior. For example, getting a new brother or sister or going to a new school may cause a child to temporarily act out. Warning signs that it might be a more serious problem include: • Problems in more than one setting (at school, at home, with peers) • Changes in appetite or sleep • Social withdrawal or fear of things he or she did not used to be not afraid of • Returning to behaviors more common in younger children, such as bedwetting • Signs of being upset, such as sadness or tearfulness • Signs of self-destructive behavior, such as head-banging or suddenly getting hurt often • Repeated thoughts of death To diagnose mental health problems, the doctor or mental health specialist looks at your child's signs and symptoms, medical history, and family history. Treatments include medicines and talk therapy. NIH: National Institute of Mental Health","MedlinePlus (NLM, public domain)",Child Mental Health
What is (are) Depression ?,"Depression is more than a feeling of being sad or irritable for a few days. It's a serious mood disorder. As one of the most common mental disorders in the United States, depression can affect how you think, feel, and your everyday life. You may not know why you feel this way, but even basic daily activities such as sleeping, eating, or working may become difficult. Depression often needs long-term treatment but getting help at the earliest sign of a problem can help manage your symptoms.","MedlinePlus (NLM, public domain)",Depression
What is (are) Depression ?,"The most common types of depression are major depression and persistent depressive disorder. • Major depression symptoms include a depressed mood or a loss of interest. Symptoms affect your daily activities and last for at least two weeks. • Persistent depressive disorder (also called dysthymia or dysthymic disorder) has less severe depressive symptoms, but they last longer, usually for at least two years. Other types of depression can include: • Seasonal affective disorder comes and goes with the seasons. It usually starts in late fall and early winter and goes away during the spring and summer. • Bipolar disorder is sometimes called manic depression. This mood disorder can cause intense mood swings. • Depression with symptoms of psychosis is a severe form of depression that also has delusions (false beliefs) or hallucinations (seeing, hearing, or feeling something that isn't there).","MedlinePlus (NLM, public domain)",Depression
What causes Depression ?,"There are a variety of things that may cause depression, including genetic, biological, environmental, and psychological factors. Depression can happen at any age and can affect anyone, but it's more common in women. This is often due to the physical and hormonal changes that women have during menstruation, pregnancy, the postpartum period, and menopause. Other mental disorders or chronic medical conditions such as diabetes, cancer, or heart disease may occur with depression. This may make the chronic condition or depression worse. In some cases, there is no clear cause for depression.","MedlinePlus (NLM, public domain)",Depression
Who is at risk for Depression? ?,You may be at a higher risk of depression if you have a close relative who has it or another mental health disorder. Going through trauma or stressful life events may raise your risk even more.,"MedlinePlus (NLM, public domain)",Depression
What are the symptoms of Depression ?,"Depression doesn't look the same on everyone. The type and number of symptoms of depression can vary and don't always appear like sadness. Depression may affect you differently based on your: • Age. The symptoms of depression may be different in a child, who may appear more irritable than sad. Teens may act out or have excessive sleepiness. The symptoms for an older adult may not be as obvious as other age groups. • Sex. Men often show symptoms and coping behaviors differently than women. Rather than sad, men may appear angry or irritable. • Medical conditions. Some medicines and medical conditions may cause symptoms that look like depression. Chronic conditions may make depression worse. Symptoms of depression are ongoing and affect your day-to-day life. They can include: • Feeling sad or ""empty"" • Losing interest in favorite activities • Overeating, or not wanting to eat at all • Sleeping too much, or not enough • Feeling very tired • Feeling hopeless, irritable, anxious, or guilty • Having aches and pains, headaches, cramps, or digestive problems • Having thoughts of death or suicide • Changing moods or behaviors • Increasing use of alcohol or drugs • Isolating from family and friends","MedlinePlus (NLM, public domain)",Depression
How to diagnose Depression ?,"If you think you have depression, talk to your health care provider or a mental health provider. To be diagnosed with depression, your provider may use many tools: • A medical history will include asking about your symptoms and family history. To be diagnosed with depression, your symptoms must occur most of the day, nearly every day, for at least two weeks. One of the symptoms must be a depressed mood or a loss of interest in most activities. • Medical tests may be done to rule out other medical conditions. Certain medicines and medical conditions (such as viruses or thyroid disorders) may cause symptoms like depression. • A physical exam to make sure another issue isn't causing your symptoms. • A mental health evaluation by your provider or a mental health provider.","MedlinePlus (NLM, public domain)",Depression
What are the treatments for Depression ?,"Depression may need long-term treatment. Most treatments include medicines and/or psychotherapy (talk therapy): • Medicines such as antidepressants may help control your symptoms. You may need to try several medicines to find which works best for you. Medicine may take time to work and can have side effects. Don't stop taking your medicine without first talking with your provider. Contact your provider if you have any concerns about side effects from the medicine. • Psychotherapy (talk therapy) under the care of a mental health provider can help you recognize and change troubling emotions, thoughts, and behaviors. This may be done one-on-one or in a group setting. It can give you and your family support, education, skills, and coping strategies. • Light therapy has been shown to be effective for seasonal affective disorder (SAD). • Other treatments options may be considered if treatment isn't working or if depression is severe. These may include: • Electroconvulsive therapy (ECT) is a brain stimulation procedure that uses a mild electric current when you are under general anesthesia. ECT is most often used for severe depression that is not getting better with other treatments. • Repetitive transcranial magnetic stimulation (rTMS) is a brain stimulation procedure that uses magnetic waves to relieve depression. It's not as powerful as ECT, but with rTMS, you don't need anesthesia. It also has a low risk of negative effects on your memory and thinking.","MedlinePlus (NLM, public domain)",Depression
How to prevent Depression ?,"Most cases of depression can't be prevented, but healthy lifestyle changes can have long-term benefits for your mental health. These can include: • Getting regular exercise • Having a consistent sleep schedule • Controlling stress If you, or someone you love is depressed, see your provider or a mental health provider. It's important to get treatment at the earliest sign of a problem. If you or someone you know has thoughts of hurting themselves or attempting suicide, get help right away. If it is an emergency, dial 911. NIH: National Institute of Mental Health","MedlinePlus (NLM, public domain)",Depression
What is (are) Mental Disorders ?,"Mental disorders (or mental illnesses) are conditions that affect your thinking, feeling, mood, and behavior. They may happen over a short period of time or come and go. Some can be chronic (long-lasting). They can affect your ability to relate to others and function each day..","MedlinePlus (NLM, public domain)",Mental Disorders
What is (are) Mental Disorders ?,"There are many different types of mental disorders. Some common ones include: • Anxiety disorders, including panic disorder, obsessive-compulsive disorder, and phobias • Depression, bipolar disorder, and other mood disorders • Eating disorders • Personality disorders • Post-traumatic stress disorder (PTSD) • Psychotic disorders, including schizophrenia","MedlinePlus (NLM, public domain)",Mental Disorders
What causes Mental Disorders ?,"There is no single cause for mental illness. A number of factors can contribute to risk for mental illness, such as: • Your genes and family history • Your life experiences, such as stress or a history of abuse, especially if they happen in childhood • Biological factors such as chemical imbalances in the brain • A traumatic brain injury (TBI) • Prenatal (before birth) exposure to viruses, toxic chemicals, or other substances such as alcohol and drugs. • Use of alcohol or recreational drugs • Having a serious medical condition like cancer • Having few friends, and feeling lonely or isolated Mental disorders are not caused by character flaws. They have nothing to do with being lazy or weak.","MedlinePlus (NLM, public domain)",Mental Disorders
How to diagnose Mental Disorders ?,"The steps to getting a diagnosis include: • A medical history • A physical exam and possibly lab tests, if your provider thinks that other medical conditions could be causing your symptoms • A psychological evaluation. You will answer questions about your thinking, feelings, and behaviors.","MedlinePlus (NLM, public domain)",Mental Disorders
What are the treatments for Mental Disorders ?,"Treatment depends on which mental disorder you have and how serious it is. You and your provider will work on a treatment plan just for you. It usually involves some type of therapy. You may also take medicines. Some people also need social support and education on managing their condition. In some cases, you may need more intensive treatment. You may need to go to a psychiatric hospital. This could be because your mental illness is severe. Or it could be because you are at risk of hurting yourself or someone else. In the hospital, you will get counseling, group discussions, and activities with mental health professionals and other patients.","MedlinePlus (NLM, public domain)",Mental Disorders
What is (are) Postpartum Depression ?,"Having a baby can be exciting, but it can also be stressful and bring many strong emotions. During the postpartum period, which is the time after you give birth, you may have mood swings, crying spells, or feel anxious. These feelings are common and are often called the postpartum ""baby blues"". The baby blues usually go away within a few days to a week. If your symptoms are more severe and last longer than two weeks, you may have postpartum depression. Postpartum depression is a common but serious mood disorder that can begin anytime within the first year after childbirth. Without treatment, symptoms may make it hard to care for your baby or manage daily tasks.","MedlinePlus (NLM, public domain)",Postpartum Depression
What causes Postpartum Depression ?,"The exact cause is unknown, but postpartum depression likely results from a combination of factors, including: • Sudden changes in hormone levels after pregnancy • Physical changes, such as dropping thyroid hormone levels • Lifestyle factors, such as fatigue, lack of sleep, limited support, or recent stressful events","MedlinePlus (NLM, public domain)",Postpartum Depression
Who is at risk for Postpartum Depression? ?,"Anyone can develop postpartum depression after childbirth. You might be at higher risk if you: • Have a history of depression, bipolar disorder, or a family health history of these conditions • Had a multiple birth (twins, triplets, or more) • Gave birth while in your teens • Had health problems during pregnancy • Had preterm labor or other complications during childbirth • Have a baby with special needs • Have ever experienced domestic violence • Are dealing with financial stress • Had an unplanned pregnancy","MedlinePlus (NLM, public domain)",Postpartum Depression
What are the symptoms of Postpartum Depression ?,"Postpartum depression symptoms are more intense and last longer than the baby blues. Symptoms may include: • Feeling sad or empty most of the time • Eating too much or too little • Sleeping too much or too little • Crying more than usual or for no clear reason • Feeling unusually angry • Pulling away from family and friends • Feeling worried or anxious often • Feeling little or no interest in your baby • Constant doubts about your ability to care for your baby • Thinking of harming yourself or your baby If you have thoughts about suicide, or hurting yourself or your baby get help right away: • Call 911 or go to your local emergency room • Contact a crisis hotline. In the United States, you can reach the National Suicide and Crisis Lifeline at any time: • Call or text 988 • Chat online with Lifeline Chat • TTY users: Use your preferred relay service or dial 711 then 988 • Veterans can contact the Veterans Crisis Line: • Call 988, then press 1 • Text 838255 • Chat online • Call your mental health provider or other health care provider • Reach out to a loved one or close friend If these symptoms begin during pregnancy and continue after childbirth, it's called perinatal depression. Without treatment, it can affect bonding with your baby and may contribute to feeding or sleeping problems. Very rarely, a new mother may develop postpartum psychosis, a medical emergency. Symptoms may include confusion, hallucinations (seeing or hearing things that aren't real), or dangerous behaviors. Call 911 or go to the nearest emergency room right away if this happens.","MedlinePlus (NLM, public domain)",Postpartum Depression
How to diagnose Postpartum Depression ?,"Your provider may diagnose postpartum depression using: • Screening questions or questionnaires, such as those about your mood, sleep, and thoughts. • A clinical evaluation based on your symptoms. • Blood tests, if needed, to check for physical conditions such as thyroid disorders, that can cause or worsen depression.","MedlinePlus (NLM, public domain)",Postpartum Depression
What are the treatments for Postpartum Depression ?,"If you think you have postpartum depression, talk with your provider. Treatments may include: • Medicines, including antidepressants • Talk therapy (counseling) Tell your provider if you are breastfeeding so they can choose the safest treatment options. Along with these treatment options, there are things you can do at home that may help you feel better, such as: • Asking for help with caring for the baby and household chores • Taking time for yourself • Getting physical activity, such as walking • Resting when the baby rests","MedlinePlus (NLM, public domain)",Postpartum Depression
How to prevent Postpartum Depression ?,"You may be able to lower your risk for postpartum depression by: • Talking with your provider during pregnancy about any history of depression • Completing recommended screening questionnaires during pregnancy and after birth • Getting support from family, friends, or support groups • Attending early Physical changes so symptoms can be found and treated as soon as possible Dept. of Health and Human Services Office on Women's Health","MedlinePlus (NLM, public domain)",Postpartum Depression
What is (are) Teen Depression ?,"Depression in teens (ages 13-17) is a serious medical illness. It's more than just a feeling of being sad or ""blue"" for a few days. It is an intense feeling of sadness, hopelessness, and anger or frustration that lasts much longer. These feelings make it hard for you to function normally and do your usual activities. You may also have trouble focusing and have no motivation or energy. Depression can make you feel like it is hard to enjoy life or even get through the day.","MedlinePlus (NLM, public domain)",Teen Depression
What causes Teen Depression ?,"Many factors may play a role in depression, including: • Genetics. Depression can run in families. • Brain biology and chemistry. • Hormones. Hormone changes can contribute to depression. • Stressful childhood events such as trauma, the death of a loved one, bullying, and abuse.","MedlinePlus (NLM, public domain)",Teen Depression
What is (are) Teen Depression ?,"Depression can happen at any age, but often begins in the teens or early adulthood. Certain teens are at higher risk of depression, such as those who: • Have other mental health conditions, such as anxiety, eating disorders, and substance use • Have other diseases, such as diabetes, cancer, and heart disease • Have family members with mental illness • Have a dysfunctional family/family conflict • Have problems with friends or other kids at school • Have learning disabilities or attention deficit hyperactivity disorder (ADHD) • Have had trauma in childhood • Have low self-esteem, a pessimistic outlook, or poor coping skills","MedlinePlus (NLM, public domain)",Teen Depression
What are the symptoms of Teen Depression ?,"If you have depression, you have one or more of these symptoms most of the time: • Sadness • Feeling of emptiness • Hopelessness • Being angry, irritable, or frustrated, even at minor things You also may also have other symptoms, such as: • No longer caring about things you used to enjoy • Changes in weight, such as losing weight when you are not dieting or gaining weight from eating too much • Changes in sleep, such as having trouble falling asleep or staying asleep, or sleeping much more than usual • Feeling restless or having trouble sitting still • Feeling very tired or not having energy • Feeling worthless or very guilty • Having trouble concentrating, remembering information, or making decisions • Thinking about dying or suicide","MedlinePlus (NLM, public domain)",Teen Depression
How to diagnose Teen Depression ?,"If you think you might be depressed, tell someone that you trust, such as your: • Parents or guardian • Teacher or counselor • Doctor The next step is to see your doctor for a checkup. Your doctor can first make sure that you do not have another health problem that is causing your depression. To do this, you may have a physical exam and lab tests. If you don't have another health problem, you will get a psychological evaluation. Your doctor may do it, or you may be referred to a mental health professional to get one. You may be asked about things such as: • Your thoughts and feelings • How you are doing at school • Any changes in your eating, sleeping, or energy level • Whether you are suicidal • Whether you use alcohol or drugs","MedlinePlus (NLM, public domain)",Teen Depression
